0  30  62  0.0
5.5  0  0.5  0.5
6.5  0  0.5  0.5
7.5  0  0.5  0.5
8.5  0  0.5  0.5
9.5  0  0.5  0.5
11  0  1  1
13  0  1  1
15  0  1  1
17  0  1  1
19  0  1  1
22.5  0.8  2.5  2.5
27.5  0.4  2.5  2.5
35  0.6  5  5
45  0.6  5  5
55  0.1  5  5
65  0.5  5  5
77.5  0  7.5  7.5
92.5  0  7.5  7.5
110  0.05  10  10
135  0.133333  15  15
175  0.1  25  25
225  0.16  25  25
275  0.06  25  25
350  0.11  50  50
450  0.06  50  50
